"GDLCODE","2025.fies.urb","2025.fies.rur","2030.fies.urb","2030.fies.rur","2020.pop.urb","2020.pop.rur","2025.pop.urb","2025.pop.rur","2030.pop.urb","2030.pop.rur","2020.stunt","2025.stunt","2030.stunt"
"AGOr215",0.274025787832215,0.306821529986337,0.11961734155193,0.59375515091233,99817,100106,99544,99620,100185,99855,0.851284541189671,0.488824761705473,0.262376297730953
"AGOr216",0.168708590790629,0.319484159816056,0.514122210675851,0.979719338938594,99822,99660,100232,100040,100256,99621,0.352320296922699,0.838830946944654,0.0201011840254068
"AGOr217",0.735411383677274,0.966054132673889,0.513265999499708,0.44182475656271,99685,100151,100010,99804,99193,100383,0.380246714921668,0.6630184922833,0.034074226161465
"AGOr218",0.192189272958785,0.676636600168422,0.963906892808154,0.607440450228751,99430,99235,99434,99903,100381,100682,0.835199396824464,0.455816878704354,0.776295493822545
"ALBr201",0.459983055712655,0.495114310411736,0.904746667249128,0.151359000243247,99704,100050,100400,99965,100357,100087,0.678589730756357,0.110537901055068,0.34720470616594
"ALBr202",0.772894494468346,0.238289361819625,0.228724439861253,0.556897283997387,99503,100368,100500,100066,99909,100235,0.583776746410877,0.225504772504792,0.595608388539404
"ALBr203",0.671614937251434,0.824406889034435,0.791743482230231,0.109245590632781,99726,99931,100207,99309,99848,100660,0.397794513730332,0.328244016505778,0.46360026136972
"ALBr204",0.543381774099544,0.658324187155813,0.799742631148547,0.810401149094105,99877,100506,100026,99643,99591,100069,0.674200038192794,0.514545263489708,0.79190036887303
"ALBr205",0.405589402420446,0.309786817524582,0.0815843879245222,0.125096147647128,99821,100253,100456,99729,99960,99758,0.766435284633189,0.860984900500625,0.408942522248253
"ALBr206",0.418382085394114,0.61334933154285,0.648896312108263,0.237319477368146,100091,99761,99672,100057,99940,100085,0.596658298047259,0.774104208918288,0.315490558044985
"ALBr207",0.373478699941188,0.638158142566681,0.947424508398399,0.522812569513917,100492,99613,100029,99954,99977,100307,0.268441553693265,0.423738627228886,0.259391736704856
"ALBr208",0.8752682285849,0.452877841657028,0.597488707862794,0.264207112137228,99562,99989,100418,100102,100125,100134,0.019979156088084,0.237963861087337,0.747536252718419
"ALBr209",0.610571434954181,0.0686679522041231,0.870253671659157,0.701925730798393,100106,100160,99951,100097,100001,100356,0.310160424094647,0.96465841610916,0.784504007548094
"ALBr210",0.251886430196464,0.23916181223467,0.201949597569183,0.505959378555417,99589,100085,100150,99531,100114,100464,0.538137482712045,0.50188345904462,0.558218193938956
"ALBr211",0.352239074651152,0.215166772482917,0.488914414076135,0.312860268168151,100192,99787,99295,99856,100088,100430,0.630557718686759,0.274400162277743,0.757591268746182
"ALBr212",0.2791464664042,0.66677813231945,0.392209046287462,0.61161604966037,100194,99999,100334,100086,99718,99501,0.215561772463843,0.528712654253468,0.944622052367777
"ANDt",0.813316039275378,0.0892706546001136,0.9421368886251,0.128533352166414,100014,100479,99449,99892,99316,99562,0.389992516022176,0.70351840974763,0.127545311115682
"AREt",0.451040295185521,0.0578858437947929,0.324230684433132,0.856097741285339,99912,100683,99851,99901,100349,99390,0.779270211933181,0.451564172282815,0.0301982273813337
"ARGr101",0.3745817609597,0.354828979820013,0.600598502438515,0.698407081654295,100080,99811,100139,99958,99733,99726,0.258241008967161,0.64423821028322,0.699347303481773
"ARGr102",0.141570271458477,0.079397498164326,0.520505021791905,0.867498468607664,100264,99752,100354,100000,100674,99925,0.787112295860425,0.129054140066728,0.418199674226344
"ARGr103",0.24709360464476,0.713188377441838,0.959490609588102,0.0329091595485806,99371,100552,100066,99519,100328,100035,0.523451156681404,0.787152846809477,0.182751982472837
"ARGr104",0.236626566154882,0.175156397745013,0.578477767994627,0.274404669180512,100015,100172,99600,100791,100267,99638,0.358100903686136,0.659878368722275,0.952376194298267
"ARGr105",0.997892145300284,0.0988581250421703,0.747887649806216,0.919853696599603,100238,100130,100155,99729,99711,100389,0.104308890644461,0.684567505959421,0.774761102395132
"ARGr106",0.100976336281747,0.347881163470447,0.0619012762326747,0.148108206689358,100001,99947,99460,99683,100144,99453,0.118102459935471,0.283764933934435,0.0900787124410272
"ARGr107",0.502326602814719,0.635694292839617,0.622324273921549,0.938485748600215,99822,99799,100329,99233,100299,100093,0.508408144349232,0.942204169696197,0.334830899722874
"ARGr108",0.192070097895339,0.985628836322576,0.916482265340164,0.77575577609241,99824,100393,99873,99848,100102,99980,0.698707569390535,0.107492381474003,0.238517797086388
"ARGr109",0.314863461069763,0.356782908085734,0.296384126413614,0.765185594791546,99920,100139,99679,100557,100248,100365,0.756526148645207,0.96465748292394,0.88604406057857
"ARGr110",0.191677402472124,0.449329124297947,0.856636127689853,0.434281170833856,100044,100080,100273,99629,100173,100147,0.51414798037149,0.823723280336708,0.400587756419554
"ARGr111",0.38638049736619,0.796569721074775,0.946804184932262,0.921102499822155,99634,99777,100188,100074,99706,99719,0.665297206025571,0.397198715247214,0.495153113035485
"ARMr101",0.997784675331786,0.456767149968073,0.485815036343411,0.288211284205317,99878,99397,100075,99193,99516,100070,0.291089029051363,0.598546180408448,0.262548599625006
"ARMr102",0.618800528813154,0.533815847011283,0.443738131085411,0.585609558969736,100501,99798,99642,99463,99933,100389,0.908306225202978,0.320680095581338,0.632131348364055
"ARMr103",0.201269660377875,0.319348443066701,0.849629413569346,0.307557559106499,99851,100359,100024,100027,100179,99727,0.706535844132304,0.0366959206294268,0.587735104840249
"ARMr104",0.711787569569424,0.392864583292976,0.953190243570134,0.288553840247914,99865,100018,99814,99155,99391,99059,0.183921847725287,0.70785627188161,0.607921387534589
"ARMr105",0.0524261079262942,0.263288663700223,0.421813042135909,0.555104984669015,100018,100246,99932,100453,99944,99837,0.521687425905839,0.61698733875528,0.827058766270056
"ARMr106",0.742734461789951,0.333319234196097,0.335887787397951,0.777164853643626,100060,99623,99786,99500,99860,100310,0.103339426219463,0.698813481954858,0.406791726360098
"ARMr107",0.940649979515001,0.206781694665551,0.27532612462528,0.263309691566974,100212,100119,100291,99868,100048,100142,0.534520243760198,0.231717666145414,0.733087150380015
"ARMr108",0.181245085783303,0.328146153362468,0.192005005432293,0.124543227255344,100412,100071,100183,99656,100391,99876,0.509167382027954,0.441364331869408,0.270651447819546
"ARMr109",0.0792045823764056,0.565878922818229,0.213600411312655,0.0226816455833614,99962,100190,99787,99793,100537,100136,0.0970237138681114,0.0712147592566907,0.677984276087955
"ARMr110",0.361742090433836,0.981577651808038,0.0827722183894366,0.26224004663527,100179,100393,99960,99748,100220,99951,0.505053638480604,0.936214992776513,0.312556257937104
"ARMr111",0.596025306731462,0.50931039173156,0.672366071026772,0.74253613781184,99846,99774,99861,99646,100219,99616,0.704637358197942,0.901479322928935,0.759198567830026
"ATGt",0.039374370360747,0.86099911108613,0.291706844465807,0.780689380364493,100035,100237,100292,100253,100351,100595,0.361790747148916,0.225768862525001,0.70085969613865
"AUSr101",0.963205628795549,0.0382291129790246,0.590904335025698,0.588478218065575,99979,100000,100088,100176,100048,99675,0.861613516230136,0.188303818460554,0.682703767670318
"AUSr102",0.431061353068799,0.898199534742162,0.122356864623725,0.728310877922922,100106,100289,99722,99675,100416,100265,0.0321322022937238,0.32968121743761,0.769726266153157
"AUSr103",0.293073236010969,0.14187171170488,0.358562020817772,0.160529099171981,100341,100230,100147,100373,99392,100417,0.634476338280365,0.0623691733926535,0.911912441020831
"AUSr104",0.292451711371541,0.67898527556099,0.978429786162451,0.682674144394696,100125,99568,99640,99957,100158,100218,0.872187357628718,0.890554296551272,0.932054456556216
"AUSr105",0.874434170080349,0.90283012855798,0.513360815122724,0.733623490203172,100083,100014,100524,100073,99565,99929,0.507937133312225,0.0856400395277888,0.0294616182800382
"AUSr106",0.173569315811619,0.192676245002076,0.145758018828928,0.860054585617036,100858,99473,100517,100193,100512,100538,0.875066134380177,0.510064460104331,0.767036185134202
"AUSr107",0.202002379810438,0.219568911707029,0.136419529328123,0.680641773156822,100582,100253,99967,99748,100669,99734,0.720089253038168,0.841913693351671,0.133269789861515
"AUSr108",0.998568788403645,0.689864292507991,0.772466789232567,0.737559858476743,99998,99862,99744,99748,99746,99697,0.47676059207879,0.826479129027575,0.20937642082572
"AUTr101",0.457900683861226,0.165514221880585,0.877542328787968,0.991080686682835,99805,100164,100195,99971,99889,99967,0.636478677392006,0.806314362445846,0.289033471141011
"AUTr102",0.0386615800671279,0.581750571029261,0.0721920172218233,0.492623667931184,100162,99828,100078,99775,99769,99424,0.205213196808472,0.983650908572599,0.938121343730018
"AUTr103",0.0755006456747651,0.990977606037632,0.210549883078784,0.963729455368593,100201,99549,99703,100140,100317,99374,0.498124619480222,0.409248773707077,0.228397539816797
"AUTr104",0.216330036753789,0.804959517670795,0.596369158709422,0.351624614326283,100159,99759,100425,100126,100334,99884,0.764795282389969,0.798665691865608,0.0514846683945507
"AUTr105",0.472175482194871,0.818288959795609,0.117641152814031,0.409605390392244,100281,100447,100124,99937,100131,99873,0.441001507686451,0.540492587257177,0.318174667656422
"AUTr106",0.667777670081705,0.086783928796649,0.43720170808956,0.315398731268942,98863,100012,99434,99563,100528,99650,0.811949337134138,0.160906854784116,0.950585081707686
"AUTr107",0.752409027889371,0.641197080723941,0.332043878501281,0.0730109729338437,100218,99743,100367,100163,99900,99854,0.524873391259462,0.273397436365485,0.931307152379304
"AUTr108",0.993607360403985,0.688101234845817,0.122516499366611,0.915623275795951,100197,99679,99957,100271,99489,100139,0.743905361043289,0.238120320718735,0.234044688986614
"AUTr109",0.0224522817879915,0.193716663168743,0.332800404867157,0.907195456093177,100437,99787,99432,100487,100107,99775,0.335565278306603,0.977752615697682,0.725507968571037
"AZEr101",0.375465210527182,0.558432826306671,0.392574473982677,0.65480043226853,99585,100232,100246,99316,100390,99961,0.303758095251396,0.372964498819783,0.904225976439193
"AZEr102",0.733761054230854,0.80682563665323,0.430415146285668,0.560473382472992,99620,99748,100102,100393,100262,99947,0.810703500406817,0.685562293510884,0.336223358521238
"AZEr103",0.74964583129622,0.153481259942055,0.480896273627877,0.604200745467097,99937,100024,99548,100064,100237,100279,0.120602814015001,0.503656668355688,0.0162173181306571
"AZEr104",0.847394179785624,0.313339948421344,0.536809700541198,0.835800688480958,100288,99498,99961,99971,100460,99777,0.190632457612082,0.0508462889119983,0.30129373120144
"AZEr105",0.464687928557396,0.505645373137668,0.540540684713051,0.48530248994939,99809,99887,100940,100065,99614,99881,0.138697135960683,0.581011426169425,0.431729264324531
"AZEr106",0.329568502493203,0.134838896105066,0.00872780196368694,0.206932597793639,100044,99759,100102,99964,99652,100184,0.585785088595003,0.0194836652372032,0.402659981977195
"AZEr107",0.818917746422812,0.942090350901708,0.0762928726617247,0.573868676554412,100211,99657,99210,100114,99937,99902,0.895633243722841,0.528879607794806,0.862474992638454
"AZEr108",0.43968199309893,0.163690741639584,0.728354970458895,0.48402038263157,99611,100275,100145,99973,100098,99916,0.805587242823094,0.972552155144513,0.735782883828506
"AZEr109",0.347768610808998,0.644353634677827,0.818346922285855,0.0672247356269509,100172,99646,99663,99999,99580,99939,0.900705635547638,0.0441831913776696,0.165717211319134
"BDIr101",0.87435967521742,0.563718911260366,0.54727388988249,0.746132694650441,99788,100256,99897,99862,99486,99990,0.235246081603691,0.497067672666162,0.625818296102807
"BDIr102",0.515807487536222,0.903650411870331,0.032268486218527,0.928271828219295,100654,100410,98998,100383,99620,99835,0.535467534326017,0.981590445153415,0.142236981773749
"BDIr103",0.448936871718615,0.73797019594349,0.957551003666595,0.180236857850105,99767,99770,99650,100444,100145,100392,0.860970843583345,0.10542144277133,0.951527030905709
"BDIr104",0.0950545980595052,0.839963770238683,0.958492871606722,0.720910602016374,100134,100028,99893,100361,99844,100083,0.316902307095006,0.0476276660338044,0.139453264418989
"BDIr105",0.617128952406347,0.139517302857712,0.688848960911855,0.227358326083049,100023,99858,100059,100229,99875,99830,0.137342551024631,0.964671267895028,0.261983563192189
"BELr101",0.140457348199561,0.92097058519721,0.330874660052359,0.859760775463656,100102,100147,99464,100145,99901,99918,0.24825754459016,0.939702344126999,0.799802780617028
"BELr102",0.73260690504685,0.417486504185945,0.712095670867711,0.20267079770565,100271,99762,100115,99453,100048,100149,0.403293419862166,0.295169904828072,0.494948458392173
"BELr103",0.264007336692885,0.135429251007736,0.899528096662834,0.802000088850036,100242,100089,100208,99630,100372,100033,0.313242035917938,0.969430313678458,0.570230666548014
"BELr104",0.73252648091875,0.419054954079911,0.415036601247266,0.567422345513478,100089,99457,99452,100000,100248,99968,0.623448916943744,0.0503789482172579,0.82792790629901
"BELr105",0.115457247709855,0.651188860181719,0.499635722953826,0.411881334846839,99965,100086,99835,100179,99825,100132,0.130416699685156,0.702593469526619,0.545779994688928
"BELr106",0.109458769438788,0.498228061711416,0.679202239727601,0.826621168060228,100078,99528,100027,99881,99954,99800,0.9514748621732,0.935820256359875,0.339078198419884
"BELr107",0.219854710856453,0.0442708283662796,0.791972283972427,0.318532162811607,99826,100196,100039,100181,100004,100699,0.298763138242066,0.711928598117083,0.00389478611759841
"BELr108",0.7768035819754,0.964927378576249,0.36888292315416,0.864578609354794,99568,100593,100536,99546,100432,99896,0.33471565018408,0.819506306899711,0.693533421494067
"BELr109",0.23597188689746,0.400352886179462,0.263465673429891,0.00261757569387555,99988,100531,100064,100024,100681,100188,0.120335408020765,0.279264817247167,0.6080849673599
"BELr110",0.773600417422131,0.729208471020684,0.60183489555493,0.584077478852123,100659,99619,99868,99995,99997,100318,0.651679496280849,0.044840608490631,0.132766627008095
"BELr111",0.0356806002091616,0.780976461945102,0.14706102013588,0.860157161485404,99783,100326,99429,100568,99757,100263,0.835385283222422,0.880268117878586,0.942660453729331
"BENr101",0.116801749216393,0.384367274353281,0.0228463537059724,0.188574442407116,99931,100172,99270,99786,100231,99737,0.575682459399104,0.624538571806625,0.793276216136292
"BENr102",0.0587253908161074,0.233223936520517,0.894906900124624,0.0541234221309423,100049,100044,99316,100182,99716,99885,0.607361360453069,0.330349843483418,0.514912016456947
"BENr103",0.626087610609829,0.930828366195783,0.722505401819944,0.535812314599752,100065,100213,99944,100477,99609,100169,0.769170679384843,0.297488073818386,0.795151706784964
"BENr104",0.101101635722443,0.190018206601962,0.0400348918046802,0.824863861780614,99742,100090,100016,100162,99804,100492,0.31455896073021,0.132290172856301,0.00541969249024987
"BENr105",0.469130592653528,0.514418400591239,0.564700775546953,0.0414068757090718,100628,99996,100026,99888,100498,99536,0.0740160210989416,0.768806302454323,0.215774703305215
"BENr106",0.0148653015494347,0.579221094027162,0.612940046936274,0.922651034779847,100381,100225,99790,100103,99948,100335,0.247067283140495,0.172666396247223,0.356243365211412
"BFAr101",0.135358798317611,0.0218072875868529,0.743946634698659,0.479600544786081,99954,100024,99901,100003,100102,99999,0.835904688807204,0.270773958880454,0.506334347883239
"BFAr102",0.23807176714763,0.518473423784599,0.775989074958488,0.388370709260926,99675,99479,100158,99761,99967,99875,0.9908626973629,0.0505151585675776,0.642225569812581
"BFAr103",0.884014823939651,0.0182867022231221,0.549213148653507,0.731707497499883,100349,100328,99195,99860,99887,100193,0.0612243502400815,0.866283618379384,0.0948557786177844
"BFAr104",0.277064241003245,0.82174019003287,0.320292898220941,0.197849847376347,100080,100085,99384,99752,99988,99667,0.698374651605263,0.267738488037139,0.461730049690232
"BFAr105",0.015214660204947,0.381208310136572,0.06936473143287,0.217866023303941,99865,100039,100220,99446,100037,99405,0.363246080232784,0.707481883233413,0.67498619761318
"BFAr106",0.131917148828506,0.747456626268104,0.926938046468422,0.146903157932684,99395,99470,99980,100132,99967,100079,0.31982882344164,0.100320624420419,0.970567090669647
"BFAr107",0.150964195374399,0.79364286432974,0.239890448283404,0.327257630415261,99350,100457,100192,100055,100461,99875,0.332344229565933,0.195545781170949,0.46536404080689
"BFAr108",0.443659895798191,0.278315026545897,0.74025807948783,0.508656714111567,100144,100262,99738,100394,100438,99851,0.297232309589162,0.950865990947932,0.154654310783371
"BFAr109",0.033439016668126,0.530179731780663,0.149569204542786,0.11167869460769,99737,100330,99801,100448,99658,99474,0.153366354759783,0.767929915571585,0.391938783228397
"BFAr110",0.29851037543267,0.630185634829104,0.184636226622388,0.351128341630101,99703,99754,99726,99775,99418,100508,0.931460513733327,0.156008311081678,0.736557642929256
"BFAr111",0.225044193910435,0.281853122869506,0.532404322177172,0.116580688394606,99566,100170,100202,99431,100214,99569,0.104579511797056,0.979087030049413,0.694483509520069
"BFAr112",0.741133272182196,0.239495792193338,0.933669358724728,0.184072307078168,99694,99842,99809,100359,100581,99914,0.828797081485391,0.433209738926962,0.576578540261835
"BFAr113",0.395972089609131,0.67525981226936,0.450197382131591,0.429689486743882,99568,100175,99896,100072,100365,100128,0.68585330597125,0.636509209638461,0.782710340572521
"BGDr201",0.664793681353331,0.616315037943423,0.180017127422616,0.945651972200722,99559,100010,99387,100321,99710,99860,0.753926187520847,0.0567309320904315,0.871493242215365
"BGDr202",0.958443230949342,0.113736091181636,0.199135510250926,0.991803192067891,99755,100092,99994,99353,99453,100323,0.645660411333665,0.498968737432733,0.535257892915979
"BGDr203",0.520091905491427,0.659306716406718,0.577008427819237,0.814489409327507,99453,99752,99693,100194,99633,100134,0.218227646779269,0.95140742813237,0.678207224467769
"BGDr204",0.213138889055699,0.40750234015286,0.232430370058864,0.530236759455875,100560,100570,99743,100042,100587,99608,0.54046046664007,0.955833188723773,0.198938854038715
"BGDr205",0.357056606095284,0.161208914360031,0.98465303494595,0.0787136210128665,100000,99783,99778,100043,100037,100401,0.902517840266228,0.506200806470588,0.00414740550331771
"BGDr206",0.919562360970303,0.0835005291737616,0.158140582498163,0.556818110635504,100112,99950,99733,99576,100332,100365,0.0175651544705033,0.553563462104648,0.11378239816986
"BGDr207",0.403601819183677,0.752130890497938,0.782786220544949,0.514811594272032,100426,99625,100040,100302,99919,99839,0.548401768086478,0.918106321012601,0.525273836217821
"BGDr208",0.604194154730067,0.176441511139274,0.0681597106158733,0.334740306949243,100127,100022,99912,100257,100300,99872,0.359723154222593,0.0784044235479087,0.52092305989936
"BGDr209",0.541626405669376,0.914921693271026,0.763231006916612,0.933207884896547,99653,100108,100060,100682,99596,99975,0.277902776375413,0.804812809452415,0.579481155844405
"BGDr210",0.425420132465661,0.780760607682168,0.377683430444449,0.0761794066056609,100422,100038,99787,99787,100090,100492,0.771266512339935,0.254706665873528,0.561655920697376
"BGDr211",0.0191475988831371,0.671202678000554,0.0124167543835938,0.57955738902092,100347,99480,99641,100575,99858,99866,0.836921961745247,0.741047218674794,0.358337768586352
"BGDr212",0.857692506629974,0.424244566354901,0.164576645940542,0.168458794010803,100470,100003,99725,100102,99717,99595,0.921364235691726,0.154609387507662,0.0348945814184844
"BGDr213",0.872058228123933,0.438623314257711,0.117875564843416,0.784596660174429,99332,100018,99999,100195,100595,100164,0.846645641839132,0.0157019449397922,0.673623545095325
"BGDr214",0.261928172782063,0.140536322956905,0.428214539773762,0.222732367226854,100304,100166,99401,100417,99762,100958,0.512168175540864,0.118498442694545,0.504055407131091
"BGDr215",0.821709002833813,0.796660510124639,0.225246003363281,0.186303227208555,100334,100071,99916,99976,99968,99901,0.207190479850397,0.620727289700881,0.754956497112289
"BGDr216",0.922763413283974,0.538166933925822,0.203197527676821,0.183198389597237,99980,99872,100245,100218,100038,99956,0.158403757959604,0.687174061778933,0.891067175660282
"BGDr217",0.291628020117059,0.862858434906229,0.520241167163476,0.356412720633671,100250,100472,99802,99720,100373,100109,0.952710139099509,0.417186044389382,0.794794115005061
"BGDr218",0.135035608196631,0.213243687525392,0.726702361134812,0.742804573848844,99841,99885,100194,100020,99446,100148,0.998546464601532,0.353124130982906,0.653520925436169
"BGDr219",0.72090657055378,0.64624870964326,0.329678143607453,0.805147994775325,99541,99510,99829,100100,99653,100365,0.621801185887307,0.52308832295239,0.604930586414412
"BGDr220",0.208684423472732,0.168111882871017,0.232204146916047,0.174364079488441,100013,99858,100185,99898,100283,99532,0.0176037240307778,0.327452458441257,0.251288225641474
"BGDr221",0.724396858131513,0.89695771667175,0.533687531016767,0.114312817342579,100509,100161,100291,99407,99867,99794,0.907573746750131,0.666814622934908,0.73087822785601
"BGDr222",0.577444597613066,0.18281870894134,0.252541691064835,0.170406655175611,99978,100019,100593,100360,100110,99959,0.17928135744296,0.54604587960057,0.12194103281945
"BGDr223",0.264516994124278,0.871311722090468,0.0328023100737482,0.644260461442173,99861,99906,99834,99770,100247,99996,0.76726222038269,0.310626905178651,0.292465984588489
"BGRr101",0.00244551314972341,0.84325564885512,0.41822171327658,0.605760202743113,100194,99605,99787,99732,100257,99383,0.617230717791244,0.447257995372638,0.394300416344777
"BGRr102",0.289937342284247,0.667627376271412,0.680022550048307,0.509425576776266,100632,100511,100258,100431,99790,99767,0.430489838821813,0.405643607955426,0.0326706264168024
"BGRr103",0.0791100333444774,0.373416292481124,0.956787045346573,0.561639562714845,99861,100301,100035,100147,100544,100152,0.909007153008133,0.358306220499799,0.467615267494693
"BGRr104",0.508767699822783,0.00890964735299349,0.825803322717547,0.629548984346911,99911,99879,99733,99880,100200,100395,0.555161845637485,0.157908121822402,0.276379337767139
"BGRr105",0.192603807197884,0.996150706196204,0.411844717105851,0.148665437707677,100320,99773,99989,99700,100184,100227,0.0469404375180602,0.110324578359723,0.633683351567015
"BGRr106",0.565319359302521,0.882251557894051,0.0955538421403617,0.19943481660448,100010,99975,100261,100718,100386,100127,0.613278004107997,0.661765445256606,0.140051012858748
"BHRt",0.543368337443098,0.489655907265842,0.972694189986214,0.94955894164741,99415,100097,99870,99497,100213,99850,0.378468240378425,0.814995630178601,0.991336690727621
"BHSt",0.24531670846045,0.410871601197869,0.682920890161768,0.212382145691663,100285,100047,100342,100291,99595,99370,0.42934049712494,0.213181865634397,0.545567547203973
"BIHr101",0.878734795143828,0.51947821257636,0.662340932292864,0.0375182798597962,99407,99675,99701,99929,100222,99892,0.246435635490343,0.7097678266,0.0791136662010103
"BIHr102",0.109710105462,0.825721200322732,0.727871497161686,0.428915478056297,99900,99552,99766,100357,99562,100026,0.515715801157057,0.197020823135972,0.611989531200379
"BIHr103",0.697731866501272,0.503219514619559,0.061887230258435,0.421691218623891,100228,99699,99523,99688,99554,100131,0.147655949462205,0.663419403601438,0.00884193950332701
"BIHr104",0.844164447160438,0.260643225396052,0.985814374405891,0.354437188245356,99733,99812,100577,100143,99536,100559,0.828115321230143,0.152855913154781,0.268989189295098
"BIHr105",0.955060323467478,0.477930879918858,0.239731986774132,0.733120435383171,100370,100291,99344,100207,99956,99790,0.409751184750348,0.590716705657542,0.941741433925927
"BLRr101",0.127808528020978,0.78144853701815,0.529712483519688,0.593392357463017,99797,99968,99913,99623,99756,99887,0.714681879384443,0.799772233469412,0.0735357603989542
"BLRr102",0.658855868270621,0.182763367658481,0.012375544058159,0.921241565840319,100209,100327,100149,100240,100160,100229,0.180210085818544,0.246548954164609,0.72191600012593
"BLRr103",0.0747535298578441,0.774685591226444,0.744679068448022,0.776010559173301,100255,99585,100320,99655,100047,100155,0.332541545387357,0.468285314971581,0.909324585692957
"BLRr104",0.485702239442617,0.361561896279454,0.123783805407584,0.679700566455722,99984,100096,100166,99527,99635,99998,0.017094457289204,0.312381627969444,0.382329918211326
"BLRr105",0.407283132430166,0.824771230574697,0.594106809934601,0.986928195226938,99874,100202,100044,99760,100425,99862,0.636841805418953,0.455088073620573,0.773085115011781
"BLRr106",0.814844288630411,0.343156466260552,0.211892578285187,0.244218016974628,100312,100198,100040,99614,99514,100262,0.0456515441183001,0.863456348655745,0.530986889731139
"BLZr101",0.877049230737612,0.259163264650851,0.0687729467172176,0.0269602143671364,99884,100034,100035,100313,100252,100319,0.761773738777265,0.86175720137544,0.905361135024577
"BLZr102",0.763816899387166,0.0772323138080537,0.652974962955341,0.33627096679993,100106,100147,99841,99863,100250,99821,0.575648030498996,0.157093800138682,0.226671608630568
